experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Pedestrian,run_3,0,181235,0.0,1.9600002765655518,9.800003051757812,pedestrian,29.844944402575493,0,0,0,0,0,0,0,0,0,6.818131055297272e-07,0.00014153996016830206,1.9069453855991014e-06,0.9998558759689331,5.999423980712891,go_fast,stop,True,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_3,5,181240,0.25,0.11209821701050988,12.519777298004447,pedestrian,29.857069417834282,24,0,0,70,0,0,0,0,0,2.867699095077114e-06,4.771792737301439e-05,2.289792064402718e-06,0.9999470710754395,5.99978494644165,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_3,10,181245,0.5,0.16076517105112245,0.8133867383161851,pedestrian,29.855566427111626,5,0,0,58,0,0,0,0,0,1.3907282436775859e-06,2.50444863922894e-05,2.710963599383831e-06,0.9999707937240601,5.999882698059082,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_3,15,181250,0.75,2.568322561305926,6.656513628995675,pedestrian,29.485918447375298,6,0,0,77,0,0,0,0,0,4.5018350647296757e-07,2.361702536290977e-05,1.946883230630192e-06,0.9999740123748779,5.999897003173828,go_fast,go_fast,False,0.75,0.0,-0.5059999823570251,49.38136291503906,-0.13953135907649994,LANEFOLLOW,none,none,True,go,False,,False,11.5486518841096
Object in Road,Pedestrian,run_3,20,181255,1.0,3.765706164784178,6.254624983601234,pedestrian,28.697260305285454,6,0,0,0,0,0,0,0,0,1.228867063218786e-06,3.349180769873783e-05,2.4939213290053885e-06,0.9999628067016602,5.999851226806641,go_fast,go_fast,False,0.75,0.0,-0.37599998712539673,48.42605209350586,4.010404586791992,LANEFOLLOW,none,none,True,go,False,,False,8.189318339553658
Object in Road,Pedestrian,run_3,25,181260,1.25,4.94094538318407,5.141934051515709,pedestrian,27.670959874987602,157,0,0,51,0,0,0,0,0,1.2956428463439806e-06,9.981450602936093e-06,2.36194000535761e-06,0.9999864101409912,5.999945640563965,go_fast,go_fast,False,0.75,0.0,-0.2980000078678131,46.22834777832031,11.181845664978027,LANEFOLLOW,none,none,True,go,False,,False,6.2488440492656245
Object in Road,Pedestrian,run_3,30,181265,1.5,5.54664488515545,4.36850250464577,pedestrian,26.480482503771782,1,0,0,32,0,0,0,0,0,9.40500342494488e-07,3.1680315260018688e-06,5.116894499224145e-07,0.9999953508377075,5.999980449676514,go_fast,go_fast,False,0.75,0.0,-0.16300000250339508,42.89548110961914,17.58631134033203,LANEFOLLOW,none,none,True,go,False,,False,5.6497623679363045
Object in Road,Pedestrian,run_3,35,181270,1.75,6.6578834611480024,4.341068129398536,pedestrian,25.17912332713604,51,0,0,0,0,0,0,0,0,5.1858991355402395e-05,8.658923434268218e-06,1.2262695463505224e-06,0.9999382495880127,5.999650478363037,go_fast,go_fast,False,0.0,1.0,0.03099999949336052,39.52671432495117,21.584291458129883,LANEFOLLOW,none,none,True,go,False,,False,4.653581207150066
Object in Road,Pedestrian,run_3,40,181275,2.0,6.450323237985813,2.749818420709548,pedestrian,23.76546899974346,0,0,0,0,0,0,0,0,0,7.307322903216118e-06,1.8008966435445473e-05,1.5316338703996735e-06,0.9999731779098511,5.999879360198975,go_fast,go_fast,False,0.04374999925494194,0.0,0.1899999976158142,37.759552001953125,21.76275062561035,LANEFOLLOW,none,none,True,go,False,,False,4.393508423830724
Object in Road,Pedestrian,run_3,45,181280,2.25,5.5653430004988635,4.927849771196707,pedestrian,22.475487157702446,26,4,0,0,0,0,0,0,0,4.968590928910999e-06,5.6139298976631835e-05,1.9423512640059926e-05,0.9999194145202637,5.999687194824219,go_fast,go_fast,False,0.75,0.0,0.21199999749660492,37.84326171875,18.784008026123047,LANEFOLLOW,none,none,True,go,False,,False,4.503079042502093
Object in Road,Pedestrian,run_3,50,181285,2.5,5.603374629849539,4.335379320769204,pedestrian,21.230701848864555,15,0,0,8,0,0,0,0,0,5.762372438766761e-06,5.050094841863029e-05,2.5785981051740237e-05,0.9999179840087891,5.999686241149902,go_fast,go_fast,False,0.75,0.0,0.20600000023841858,38.221168518066406,14.737557411193848,LANEFOLLOW,none,none,True,go,False,,False,4.0681683906278625
Object in Road,Pedestrian,run_3,55,181290,2.75,6.4112529324569945,3.433793936239795,pedestrian,19.81580774486065,38,0,0,0,0,0,0,0,0,3.999522050435189e-06,1.678155967965722e-05,4.3220632505835965e-05,0.9999359846115112,5.999778747558594,go_fast,go_fast,False,0.0,0.0,0.17800000309944153,38.114864349365234,10.401693344116211,LANEFOLLOW,none,none,True,go,False,,False,3.2368505250725694
Object in Road,Pedestrian,run_3,60,181295,3.0,6.525023455808529,2.9391328586568406,pedestrian,18.23230592906475,232,39,0,0,0,0,0,0,0,5.966555249869998e-07,5.318394869391341e-06,1.2734789379464928e-05,0.9999814033508301,5.999937057495117,go_fast,go_fast,False,0.05624999850988388,0.0,0.13899999856948853,37.35111999511719,6.34782600402832,LANEFOLLOW,none,none,True,go,False,,False,2.8817669217026127
Object in Road,Pedestrian,run_3,65,181300,3.25,6.026260123794086,2.962926606948875,pedestrian,16.698931142687798,153,105,0,0,0,0,0,0,0,6.646147880928766e-07,2.805637450364884e-05,0.0002746323880273849,0.9996967315673828,5.99906063079834,go_fast,go_fast,False,0.05624999850988388,0.0,0.06300000101327896,36.18263244628906,3.2012438774108887,LANEFOLLOW,walker,none,False,stop,False,,False,2.833080129764254
Object in Road,Pedestrian,run_3,70,181305,3.5,5.4773963899169384,2.3010503374300932,pedestrian,15.288289472460747,5,81,0,43,0,0,0,0,0,3.6766809330401884e-07,1.256643190572504e-05,0.0001429020776413381,0.9998441934585571,5.999519348144531,go_fast,go_fast,False,0.75,0.0,-0.04500000178813934,34.84867858886719,1.694048523902893,LANEFOLLOW,walker,none,False,stop,False,,False,2.857592439268788
Object in Road,Pedestrian,run_3,75,181310,3.75,5.314036502932912,1.4147555710151947,pedestrian,13.996051236987114,122,13,0,35,0,0,0,0,0,3.155381023134396e-07,1.1912356058019213e-05,0.0002279190084664151,0.9997598528862,5.999266624450684,go_fast,go_fast,False,0.75,0.0,0.008999999612569809,33.50541687011719,2.047081470489502,LANEFOLLOW,walker,none,False,stop,False,,False,2.7433770066926555
Object in Road,Pedestrian,run_3,80,181315,4.0,6.111234689006183,3.9903979739887188,pedestrian,12.61752264201641,44,204,0,37,0,0,0,0,0,3.4298228257512164e-08,8.956567762652412e-05,4.6967784328444395e-06,0.9999057054519653,5.999627590179443,go_fast,go_fast,False,0.0,0.0,0.04399999976158142,32.08479309082031,2.0492448806762695,LANEFOLLOW,walker,none,False,stop,False,,False,2.151532749273285
Object in Road,Pedestrian,run_3,85,181320,4.25,6.359706261091126,1.4035419621746446,pedestrian,11.072321340441704,0,328,0,42,0,0,0,0,0,2.1926575755060185e-07,0.05081116035580635,0.0020511960610747337,0.9471374750137329,5.790600776672363,go_fast,go_fast,False,0.06875000149011612,0.0,-0.009999999776482582,30.5275936126709,1.335762619972229,LANEFOLLOW,walker,none,False,stop,False,,False,1.8142121786974377
Object in Road,Pedestrian,run_3,90,181325,4.5,5.894889975758332,2.0641721494852456,pedestrian,9.602152273058891,0,625,0,42,0,0,0,0,0,1.1279605161007566e-07,0.023189691826701164,7.676080713281408e-05,0.9767334461212158,5.907010555267334,go_fast,go_fast,False,0.14207327365875244,0.0,-0.12800000607967377,28.995121002197266,1.3359624147415161,LANEFOLLOW,walker,none,False,stop,False,,False,1.7289498769844596
Object in Road,Pedestrian,run_3,95,181330,4.75,5.396728832128133,2.292986898769811,pedestrian,8.302162572741508,0,789,0,0,0,0,0,0,0,3.463458710939449e-07,0.03456087037920952,1.0192673471465241e-05,0.9654285907745361,5.861723899841309,go_fast,go_fast,False,0.75,0.0,0.2150000035762787,27.49227523803711,2.745452880859375,LANEFOLLOW,walker,none,False,stop,False,,False,1.7420142816348947
Object in Road,Pedestrian,run_3,100,181335,5.0,5.277154756325765,3.1848878846339304,pedestrian,7.10000841319561,431,209,0,0,0,0,0,0,0,1.7909535472426796e-06,0.22432027757167816,3.7723368677688995e-06,0.7756742238998413,5.102696895599365,go_fast,go_fast,False,0.0,0.0,-0.014999999664723873,26.286434173583984,1.4462255239486694,LANEFOLLOW,walker,none,False,stop,False,,False,1.4396456917726017
Object in Road,Pedestrian,run_3,105,181340,5.25,5.388969315446769,1.2924817832995066,pedestrian,5.8760480135679245,905,0,0,0,0,0,0,0,0,5.359752321965061e-07,9.147811397269834e-06,1.5890002202922915e-07,0.9999901056289673,5.999959468841553,go_fast,go_fast,False,0.75,0.0,-0.054999999701976776,24.952104568481445,0.9477317333221436,LANEFOLLOW,walker,none,False,stop,False,,False,1.2574387507785207
Object in Road,Pedestrian,run_3,110,181345,5.5,5.3287868001446625,1.6408564841845565,pedestrian,4.782799169421196,1898,0,0,0,0,0,0,0,0,3.514227273626602e-07,3.1657968065701425e-05,1.5615817119396525e-06,0.9999663829803467,5.999866485595703,go_fast,go_fast,False,0.75,0.0,-0.04399999976158142,23.604299545288086,1.5387089252471924,LANEFOLLOW,walker,none,False,stop,False,,False,1.1607031831515318
Object in Road,Pedestrian,run_3,115,181350,5.75,6.1200838476601245,3.0894906481577133,pedestrian,3.7832020968198776,2753,0,0,0,0,0,0,0,0,6.7115784077032e-06,9.076384230866097e-06,1.4168514326229342e-06,0.9999828338623047,5.999919414520264,go_fast,go_fast,False,0.0,0.0,-0.10100000351667404,22.133220672607422,2.0905115604400635,LANEFOLLOW,walker,none,False,stop,False,,False,1.027707553217325
Object in Road,Pedestrian,run_3,120,181355,6.0,6.474724789041597,2.0914231769516936,pedestrian,3.1370596140623093,0,0,0,0,0,0,0,0,0,1.0152571121579967e-06,8.779139761827537e-07,3.8984998695923423e-07,0.9999977350234985,5.9999895095825195,go_fast,go_fast,False,0.056554246693849564,0.0,0.0689999982714653,20.36298370361328,3.236572504043579,LANEFOLLOW,walker,none,False,stop,False,,False,3.110345858146752
Object in Road,Pedestrian,run_3,125,181360,6.25,5.943970557371721,2.4494586008174783,pedestrian,3.1848787516355515,0,0,0,0,0,0,0,0,0,4.629643512998882e-07,2.3860666260588914e-06,1.5948867257975508e-06,0.9999955892562866,5.999982833862305,go_fast,go_fast,False,0.40362751483917236,0.0,0.013000000268220901,18.858619689941406,2.9388115406036377,LANEFOLLOW,walker,none,False,stop,False,,False,
Object in Road,Pedestrian,run_3,130,181365,6.5,5.626908490471868,0.5170806982768753,pedestrian,3.7836367338895798,0,0,0,0,0,0,0,0,0,7.262258350237971e-07,3.3509322747704573e-06,1.904920395645604e-06,0.9999940395355225,5.999976634979248,go_fast,go_fast,False,0.75,0.0,0.00800000037997961,17.459569931030273,2.7003824710845947,LANEFOLLOW,walker,none,False,stop,False,,False,
Object in Road,Pedestrian,run_3,135,181370,6.75,6.013321645018393,3.0351036484706295,pedestrian,4.739180967211723,0,0,0,0,0,0,0,0,0,3.676398989682639e-07,9.615292810849496e-07,3.345318759784277e-07,0.9999983310699463,5.999992847442627,go_fast,go_fast,False,0.0,0.0,-0.03500000014901161,16.036083221435547,2.615579605102539,LANEFOLLOW,walker,none,False,stop,False,,False,
Object in Road,Pedestrian,run_3,140,181375,7.0,6.1804817172859705,1.3234521395550392,pedestrian,5.9994963854551315,0,0,0,0,0,0,0,0,0,6.843873165962577e-07,1.2427982483131927e-06,5.789025294689054e-07,0.9999974966049194,5.999989032745361,go_fast,go_fast,False,0.05177031829953194,0.0,0.012000000104308128,14.439294815063477,2.868905544281006,LANEFOLLOW,walker,none,False,stop,False,,False,
Object in Road,Pedestrian,run_3,145,181380,7.25,5.707109642811525,2.1175799026588438,pedestrian,7.30885212123394,9,0,0,0,0,0,0,0,0,4.7103787892410764e-07,1.2595100997714326e-06,5.690228022103838e-07,0.9999977350234985,5.999990940093994,go_fast,go_fast,False,0.75,0.0,0.03700000047683716,12.957237243652344,2.8466989994049072,LANEFOLLOW,walker,none,False,stop,False,,False,
Object in Road,Pedestrian,run_3,150,181385,7.5,5.577058126450581,1.485319900130949,pedestrian,8.570973798632622,0,0,0,0,0,0,0,0,0,5.741472932641045e-07,1.3492328889697092e-06,1.345505211247655e-06,0.9999967813491821,5.999987602233887,go_fast,go_fast,False,0.75,0.0,0.07900000363588333,11.61583137512207,2.6298367977142334,LANEFOLLOW,walker,none,False,stop,False,,False,
Object in Road,Pedestrian,run_3,155,181390,7.75,6.373570852658834,4.017551849027648,pedestrian,9.939816877245903,10,0,0,0,0,0,0,0,0,4.459999445316498e-07,1.3884916825190885e-06,2.7677586444951885e-07,0.9999978542327881,5.999990940093994,go_fast,go_fast,False,0.0,0.0,-0.02500000037252903,10.2214937210083,2.174583673477173,LANEFOLLOW,walker,none,False,stop,False,,False,
