experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,distance_to_crossing_vehicle_m,crossing_vehicle_speed_mps,time_to_collision_s
Intersection Interception,Early Interception,run_1,0,893,0.0,0.0,0.0,0,0,1110,0,0,0,0,0,0,3.012395666246448e-07,0.0001182513587991707,0.0008462597033940256,0.9990352392196655,6.0,go_fast,go,True,0.0,1.0,0.0,vehicle,none,False,stop,False,,False,23.45114953426141,0.0,
Intersection Interception,Early Interception,run_1,5,898,0.25,0.001178627019147451,0.0019149786454264659,0,0,1122,0,0,0,0,0,0,2.8432290832824947e-07,0.0001393399143125862,0.0007648388273082674,0.9990955591201782,6.0,go_fast,go_fast,False,0.800000011920929,0.0,0.0,vehicle,none,False,stop,False,,False,23.47563217574536,11.039774651696685,5.115323088335068
Intersection Interception,Early Interception,run_1,10,903,0.5,0.0031470089202801184,0.06274762290567071,0,0,1120,0,0,0,0,0,0,3.532510675086087e-07,0.0001808663655538112,0.0022325103636831045,0.9975862503051758,6.0,go_fast,go_fast,False,0.800000011920929,0.0,0.0,vehicle,none,False,stop,False,,False,23.49895863289791,11.015729521807694,4.9986562495252045
Intersection Interception,Early Interception,run_1,15,908,0.75,2.796597853479849,6.7876673708946536,113,0,1177,0,0,0,0,0,0,2.1996486339048715e-06,0.0001197523670271039,0.0007368423393927515,0.9991412162780762,6.0,go_fast,go_fast,False,0.800000011920929,0.0,0.0,vehicle,none,False,stop,False,,False,23.081636741481546,8.912551968404694,4.830047497337714
Intersection Interception,Early Interception,run_1,20,913,1.0,4.267709621954023,5.260018632625508,1214,0,1371,104,0,0,130,0,0,2.137063574991771e-06,4.920964056509547e-05,0.00032316709985025227,0.9996254444122314,6.0,go_fast,go_fast,False,0.800000011920929,0.0,0.0,vehicle,vehicle,True,stop,False,,False,22.201480114501265,9.070508686560915,4.108177704526826
Intersection Interception,Early Interception,run_1,25,918,1.25,5.334261171607446,1.352901080287012,1473,0,2054,105,0,0,226,0,0,1.1292696626696852e-06,8.507076017849613e-06,5.8029595493280794e-06,0.9999845027923584,6.0,go_fast,go_fast,False,0.800000011920929,0.0,0.0,vehicle,vehicle,True,stop,False,,False,20.997988932122418,11.454130450023772,3.048156857181776
Intersection Interception,Early Interception,run_1,30,923,1.5,6.023511354716323,3.655646398717544,2274,0,2765,123,0,0,233,0,0,1.9037719312109402e-06,1.677284103607235e-06,7.944825597405725e-07,0.9999955892562866,6.0,go_fast,go_fast,False,0.800000011920929,0.0,0.0,vehicle,vehicle,True,stop,False,,False,19.619305171804328,12.742624822809564,2.5111733555402354
Intersection Interception,Early Interception,run_1,35,928,1.75,7.212552757984445,5.25646699418331,3273,0,4337,151,0,0,155,0,0,3.269419039497734e-06,2.516912218197831e-06,2.540657078498043e-06,0.9999916553497314,6.0,go_fast,go_fast,False,0.800000011920929,0.0,0.0,vehicle,vehicle,True,stop,False,,False,17.990352482363413,14.250675817461829,1.9814727546880744
Intersection Interception,Early Interception,run_1,40,933,2.0,8.405308120480017,4.447525796639849,4032,0,1506,142,0,0,45,0,0,8.997689292300493e-06,2.9666534828720614e-06,0.0015727585414424539,0.9984152317047119,6.0,go_fast,go_fast,False,0.800000011920929,0.0,0.0,vehicle,vehicle,True,stop,False,,False,16.04862059858816,14.641168347446621,1.6493916400792101
Intersection Interception,Early Interception,run_1,45,938,2.25,9.612193454682155,5.037377014616925,4879,0,1346,152,0,0,0,0,0,6.039476829755586e-06,1.0569877986199572e-06,0.9999605417251587,3.229668436688371e-05,3.0,go,go_fast,True,0.800000011920929,0.0,0.0,vehicle,vehicle,True,stop,False,,False,13.794086343584112,14.016091059548536,1.5116963257563127
Intersection Interception,Early Interception,run_1,50,943,2.5,10.254785204018225,1.252253076972367,5376,0,1950,195,0,0,0,0,0,4.416071533341892e-05,3.7574514522020763e-07,0.9999473094940186,8.153734597726725e-06,3.0,go,go,False,0.5,0.0,0.0,vehicle,vehicle,True,stop,False,,False,11.629533615782904,13.55971234661786,1.521979243114835
Intersection Interception,Early Interception,run_1,55,948,2.75,10.526341067122567,1.1049396575574613,5682,0,3406,180,0,0,0,0,0,1.3889072761230636e-05,5.851517244082061e-07,0.9999790191650391,6.516994289995637e-06,3.0,go,go,False,0.5,0.0,0.0,vehicle,vehicle,True,stop,False,,False,10.067575803732637,14.1387458504774,1.7629423203603565
Intersection Interception,Early Interception,run_1,60,953,3.0,10.706816266383935,0.49706740056912413,5129,0,2402,172,0,0,0,0,0,1.3712403870158596e-06,9.371660780743696e-07,0.9999896287918091,8.107972462312318e-06,3.0,go,go,False,0.5,0.0,0.0,vehicle,vehicle,True,stop,False,,False,9.129365183141722,14.164371016853847,2.77302566434338
Intersection Interception,Early Interception,run_1,65,958,3.25,10.892037247203282,0.9001537887392319,4608,0,82,214,0,0,0,0,0,1.140876247518463e-05,2.095883701258572e-06,0.9999690055847168,1.746682210068684e-05,3.0,go,go,False,0.5,0.0,0.0,vehicle,vehicle,True,stop,False,,False,8.69433830984282,13.568217223846597,6.877294048536697
Intersection Interception,Early Interception,run_1,70,963,3.5,11.044918996591372,0.42664366557181915,3791,0,142,231,0,0,0,0,0,0.003466922789812088,3.0860114748065826e-06,0.9965194463729858,1.0563871910562739e-05,3.0,go,go,False,0.5,0.0,0.0,vehicle,vehicle,True,stop,False,,False,8.714693532594893,14.033375232271204,
