experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Chair,run_4,0,208480,0.0,1.9600002765655518,9.800003051757812,chair,29.646424174308777,1,0,0,76,0,0,0,0,0,9.727936145509375e-08,0.00043721855035983026,8.660382491143537e-07,0.9995618462562561,5.998248100280762,go_fast,stop,True,0.75,0.0,0.0,49.712684631347656,-0.17751333117485046,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_4,5,208485,0.25,0.09680067002779486,1.0022859573377056,chair,29.646286845207214,0,0,0,65,0,0,0,0,0,9.767533271087814e-08,0.0008582774316892028,1.4563169088432915e-06,0.9991401433944702,5.996561527252197,go_fast,go_fast,False,0.75,0.0,0.0,49.712684631347656,-0.17751333117485046,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_4,10,208490,0.5,0.04229425266508897,0.2929651141252647,chair,29.64627730846405,19,0,0,23,0,0,0,0,0,9.727752114940813e-08,0.0007949038990773261,1.3005860637349542e-06,0.9992037415504456,5.996816158294678,go_fast,go_fast,False,0.75,0.0,0.0,49.712684631347656,-0.17751333117485046,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_4,15,208495,0.75,2.5712944978145726,6.780493257233713,chair,29.273865580558777,221,0,0,48,0,0,0,0,0,8.471678114574388e-08,0.0004068793496116996,5.340659754438093e-07,0.9995924830436707,5.998370170593262,go_fast,go_fast,False,0.75,0.0,0.5019999742507935,49.34029006958008,-0.17223230004310608,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,11.526195504729403
Object in Road,Chair,run_4,20,208500,1.0,3.789580714032836,6.089179790912461,chair,28.48123061656952,9,0,0,62,0,0,0,0,0,5.828122695561433e-08,3.4210883313789964e-05,2.101212999150448e-07,0.9999655485153198,5.999862194061279,go_fast,go_fast,False,0.75,0.0,0.3199999928474426,48.354434967041016,-4.3358588218688965,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,8.117229232706773
Object in Road,Chair,run_4,25,208505,1.25,4.976882289888025,4.980503767161544,chair,27.434388041496277,6413,0,0,0,0,0,0,0,0,1.6156596416294633e-07,5.119044999446487e-06,3.2434081731480546e-07,0.9999943971633911,5.999978065490723,go_fast,go_fast,False,0.75,0.0,0.3190000057220459,46.2768669128418,-10.7178316116333,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,6.058624814592132
Object in Road,Chair,run_4,30,208510,1.5,5.6364597447405735,5.099497558968526,chair,26.22711455821991,0,12,0,7,0,0,0,0,0,1.1916598907646403e-07,9.702000625111395e-07,2.45106235752246e-07,0.9999986886978149,5.999995231628418,go_fast,go_fast,False,0.75,0.0,0.1899999976158142,42.909481048583984,-17.367597579956055,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,5.522904099284226
Object in Road,Chair,run_4,35,208515,1.75,6.547469778417971,4.05283744295577,chair,24.92442786693573,27,7,0,0,0,0,0,0,0,1.7455212741879222e-07,1.1789434211095795e-06,1.9913254334369412e-07,0.9999984502792358,5.999993324279785,go_fast,go_fast,False,0.0,0.0,-0.014000000432133675,39.18675231933594,-22.070707321166992,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,4.7544633212406335
Object in Road,Chair,run_4,40,208520,2.0,6.709742491540512,1.4269250660143469,chair,23.516709208488464,506,10,0,0,0,0,0,0,0,8.367419468413573e-07,1.3913531802245416e-06,1.869521639719096e-07,0.999997615814209,5.999989032745361,go_fast,go_fast,False,0.0,1.0,-0.164000004529953,37.078609466552734,-22.817028045654297,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,4.281452364276561
Object in Road,Chair,run_4,45,208525,2.25,4.2385933919801975,26.74166979139193,chair,22.233847498893738,162,123,0,0,0,0,0,0,0,3.2508378922102565e-07,2.0759430299222004e-06,1.597853156454221e-07,0.9999974966049194,5.9999895095825195,go_fast,go_fast,False,0.75,0.0,-0.210999995470047,36.92448043823242,-20.462114334106445,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,6.119130292640572
Object in Road,Chair,run_4,50,208530,2.5,2.454252080613382,6.0238340243697355,chair,21.722752451896667,49,124,0,38,0,0,0,0,0,1.0290295904269442e-07,9.005047104437836e-06,4.104566073692695e-07,0.9999904632568359,5.999961853027344,go_fast,go_fast,False,0.75,0.0,-0.20499999821186066,37.156280517578125,-18.90302276611328,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,9.80964802092481
Object in Road,Chair,run_4,55,208535,2.75,3.749957673135216,5.088497681750736,chair,21.006665110588074,88,74,0,35,0,0,0,0,0,1.3992531933126884e-07,5.117916771268938e-06,1.404968884344271e-06,0.9999933242797852,5.999974250793457,go_fast,go_fast,False,0.75,0.0,-0.1940000057220459,37.40542984008789,-16.66970443725586,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,6.125385135557665
Object in Road,Chair,run_4,60,208540,3.0,4.908139093396703,4.686234698541864,chair,19.99528396129608,58,71,0,15,0,0,0,0,0,2.0622624674615508e-07,2.9479463137249695e-06,4.538618213700829e-06,0.9999922513961792,5.999972820281982,go_fast,go_fast,False,0.75,0.0,-0.1940000057220459,37.47391128540039,-13.73468017578125,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,4.38784976472627
