experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Pedestrian,run_5,0,186626,0.0,1.9600002765655518,9.800003051757812,pedestrian,29.844944402575493,0,0,0,0,0,0,0,0,0,6.926297828613315e-07,0.00013608204608317465,1.875347834356944e-06,0.9998613595962524,5.999446392059326,go_fast,stop,True,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_5,5,186631,0.25,0.11209821701050988,12.519777298004447,pedestrian,29.857069417834282,20,0,0,70,0,0,0,0,0,2.99098633149697e-06,5.063237767899409e-05,2.2539973087987164e-06,0.9999440908432007,5.999772548675537,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_5,10,186636,0.5,0.16076517105112245,0.8133867383161851,pedestrian,29.855566427111626,0,0,0,58,0,0,0,0,0,1.404681370331673e-06,2.6067715225508437e-05,2.705826091187191e-06,0.9999698400497437,5.999878883361816,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_5,15,186641,0.75,2.568322561305926,6.656513628995675,pedestrian,29.485918447375298,6,0,0,77,0,0,0,0,0,4.627052021533018e-07,2.4041097276494838e-05,1.9799001620413037e-06,0.9999735355377197,5.999895095825195,go_fast,go_fast,False,0.75,0.0,-0.5049999952316284,49.38136291503906,-0.13953135907649994,LANEFOLLOW,none,none,True,go,False,,False,11.5486518841096
Object in Road,Pedestrian,run_5,20,186646,1.0,3.766167881670958,6.238314326864355,pedestrian,28.697225973010063,3,0,0,0,0,0,0,0,0,1.0898946811721544e-06,3.11178264382761e-05,2.3750476429995615e-06,0.9999654293060303,5.999861717224121,go_fast,go_fast,False,0.75,0.0,-0.37599998712539673,48.4261589050293,4.00866174697876,LANEFOLLOW,none,none,True,go,False,,False,8.18694481751837
Object in Road,Pedestrian,run_5,25,186651,1.25,4.9411374300329856,5.142105872877531,pedestrian,27.67080347239971,128,0,0,0,0,0,0,0,0,7.977925520208373e-07,7.966464181663468e-06,1.8113147461917833e-06,0.99998939037323,5.99995756149292,go_fast,go_fast,False,0.75,0.0,-0.2980000078678131,46.229087829589844,11.17813491821289,LANEFOLLOW,none,none,True,go,False,,False,6.248308332207397
Object in Road,Pedestrian,run_5,30,186656,1.5,5.546792641112452,4.368114755789163,pedestrian,26.480225011706352,2,0,0,42,0,0,0,0,0,1.0790676014948986e-06,3.227829438401386e-06,5.063540129413013e-07,0.999995231628418,5.999979496002197,go_fast,go_fast,False,0.75,0.0,-0.16500000655651093,42.89655303955078,17.58303451538086,LANEFOLLOW,none,none,True,go,False,,False,5.649276098060366
Object in Road,Pedestrian,run_5,35,186661,1.75,6.653311786337195,4.309548683606874,pedestrian,25.179661199450493,53,0,0,0,0,0,0,0,0,4.7484216338489205e-05,9.08652782527497e-06,1.3026548231209745e-06,0.9999420642852783,5.999674320220947,go_fast,go_fast,False,0.0,1.0,0.029999999329447746,39.51133728027344,21.613494873046875,LANEFOLLOW,none,none,True,go,False,,False,4.662150421778994
Object in Road,Pedestrian,run_5,40,186666,2.0,6.449314796853569,2.7411107713143203,pedestrian,23.767864629626274,3,48,0,28,0,0,0,0,0,9.92638524621725e-06,2.3357202735496685e-05,2.0405052509886445e-06,0.999964714050293,5.999841213226318,go_fast,go_fast,False,0.04374999925494194,0.0,0.1850000023841858,37.72911071777344,21.819992065429688,LANEFOLLOW,none,none,True,go,False,,False,4.400173295711264
Object in Road,Pedestrian,run_5,45,186671,2.25,5.567282483916201,4.891078071091605,pedestrian,22.48000757396221,29,0,0,0,0,0,0,0,0,1.4882609775668243e-06,1.529739711259026e-05,6.298992957454175e-06,0.9999768733978271,5.999910831451416,go_fast,go_fast,False,0.75,0.0,0.21799999475479126,37.787025451660156,18.90593719482422,LANEFOLLOW,none,none,True,go,False,,False,4.514255288309037
