experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Chair,run_3,0,191454,0.0,1.470000147819519,9.80000114440918,chair,29.668082118034363,720,0,0,0,0,0,0,0,0,9.09547907212982e-07,6.94528644089587e-05,3.797956424023141e-06,0.9999258518218994,5.9997053146362305,go_fast,stop,True,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_3,1,191455,0.05,1.9600002765655518,9.800003051757812,chair,29.666794657707214,16,0,0,30,0,0,0,0,0,6.573794166797597e-07,0.00012513487308751792,2.0521029000519775e-06,0.999872088432312,5.999488830566406,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_3,2,191456,0.1,2.450000286102295,9.800000190734863,chair,29.665526270866394,13,0,0,36,0,0,0,0,0,2.4572682377765886e-07,8.884470298653468e-05,1.2937692872583284e-06,0.9999096393585205,5.999639511108398,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_3,3,191457,0.15000000000000002,2.93999981880188,9.7999906539917,chair,29.66455352306366,0,0,0,49,0,0,0,0,0,9.984895541492733e-07,4.364133201306686e-05,9.822839501794078e-07,0.999954342842102,5.999816417694092,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_3,4,191458,0.2,2.0645954609088695,17.508087159011865,chair,29.66420829296112,0,2,0,48,0,0,0,0,0,1.0581665037534549e-06,3.217668199795298e-05,1.8119753804057837e-06,0.9999649524688721,5.99985933303833,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_3,5,191459,0.25,0.7380870580685825,26.53016853370036,chair,29.664252161979675,0,1,0,0,0,0,0,0,0,1.9382302980375243e-06,3.305470454506576e-05,2.307736394868698e-06,0.9999626874923706,5.99984884262085,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_3,6,191460,0.30000000000000004,0.11209821701050988,12.519777298004447,chair,29.664284586906433,0,0,0,0,0,0,0,0,0,2.5107369765464682e-06,4.9201677029486746e-05,3.0891108053765493e-06,0.9999451637268066,5.999778747558594,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_3,7,191461,0.35000000000000003,0.15056173503417905,5.25319957733331,chair,29.664276957511902,0,0,0,6,0,0,0,0,0,2.6902732770395232e-06,4.5779263018630445e-05,2.16686771636887e-06,0.9999493360519409,5.999794006347656,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_3,8,191462,0.4,0.23337177932264083,1.6562008857755581,chair,29.66425597667694,0,0,0,6,0,0,0,0,0,2.9519167128455592e-06,4.954690666636452e-05,2.5240103695978178e-06,0.9999449253082275,5.999776363372803,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_3,9,191463,0.45,0.23370629549037725,0.006690323969246881,chair,29.664236903190613,0,0,0,5,0,0,0,0,0,1.3907813354308018e-06,3.965432188124396e-05,3.2428849863208598e-06,0.9999556541442871,5.999823093414307,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
