experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Pedestrian,run_2,0,180743,0.0,1.9600002765655518,9.800003051757812,pedestrian,29.844944402575493,0,0,0,0,0,0,0,0,0,6.872733706586587e-07,0.0001567119761602953,1.9641338440123945e-06,0.9998406171798706,5.999362945556641,go_fast,stop,True,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_2,5,180748,0.25,0.11209821701050988,12.519777298004447,pedestrian,29.857069417834282,25,0,0,70,0,0,0,0,0,2.927831246779533e-06,4.95802414661739e-05,2.2768160761188483e-06,0.9999451637268066,5.999776840209961,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_2,10,180753,0.5,0.16076517105112245,0.8133867383161851,pedestrian,29.855566427111626,0,0,0,58,0,0,0,0,0,1.355183485429734e-06,2.4390432372456416e-05,2.769286993498099e-06,0.9999715089797974,5.999886512756348,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,none,True,go,False,,False,
Object in Road,Pedestrian,run_2,15,180758,0.75,2.568322561305926,6.656513628995675,pedestrian,29.485918447375298,6,0,0,77,0,0,0,0,0,5.042977591074305e-07,2.404052429483272e-05,1.9710212200152455e-06,0.9999735355377197,5.999895095825195,go_fast,go_fast,False,0.75,0.0,-0.5059999823570251,49.38136291503906,-0.13953135907649994,LANEFOLLOW,none,none,True,go,False,,False,11.5486518841096
Object in Road,Pedestrian,run_2,20,180763,1.0,3.765706164784178,6.254624983601234,pedestrian,28.697260305285454,4,0,0,0,0,0,0,0,0,1.0540298944761162e-06,3.079968519159593e-05,2.303969949934981e-06,0.9999657869338989,5.999863624572754,go_fast,go_fast,False,0.75,0.0,-0.37599998712539673,48.42605209350586,4.010404586791992,LANEFOLLOW,none,none,True,go,False,,False,8.189318339553658
Object in Road,Pedestrian,run_2,25,180768,1.25,4.94094538318407,5.141934051515709,pedestrian,27.670959874987602,137,0,0,50,0,0,0,0,0,1.3415877901934437e-06,1.0411200491944328e-05,2.3256329768628348e-06,0.999985933303833,5.999943256378174,go_fast,go_fast,False,0.75,0.0,-0.2980000078678131,46.22834777832031,11.181845664978027,LANEFOLLOW,none,none,True,go,False,,False,6.2488440492656245
Object in Road,Pedestrian,run_2,30,180773,1.5,5.54664488515545,4.36850250464577,pedestrian,26.480482503771782,4,0,0,33,0,0,0,0,0,9.340218412035028e-07,3.176896143486374e-06,5.108620371174766e-07,0.9999953508377075,5.999980449676514,go_fast,go_fast,False,0.75,0.0,-0.16300000250339508,42.89548110961914,17.58631134033203,LANEFOLLOW,none,none,True,go,False,,False,5.6497623679363045
Object in Road,Pedestrian,run_2,35,180778,1.75,6.6578834611480024,4.341068129398536,pedestrian,25.17912332713604,44,0,0,0,0,0,0,0,0,4.596148937707767e-05,8.60541513247881e-06,1.2196021543786628e-06,0.9999442100524902,5.999686241149902,go_fast,go_fast,False,0.0,1.0,0.03099999949336052,39.52671432495117,21.584291458129883,LANEFOLLOW,none,none,True,go,False,,False,4.653581207150066
Object in Road,Pedestrian,run_2,40,180783,2.0,6.450323237985813,2.749818420709548,pedestrian,23.76546899974346,0,0,0,0,0,0,0,0,0,7.342208391492022e-06,1.7976879462366924e-05,1.4879957461744198e-06,0.9999731779098511,5.999879360198975,go_fast,go_fast,False,0.04374999925494194,0.0,0.1899999976158142,37.759552001953125,21.76275062561035,LANEFOLLOW,none,none,True,go,False,,False,4.393508423830724
Object in Road,Pedestrian,run_2,45,180788,2.25,5.5653430004988635,4.927849771196707,pedestrian,22.475487157702446,29,6,0,0,0,0,0,0,0,4.953180450684158e-06,5.441766188596375e-05,1.874155168479774e-05,0.9999219179153442,5.999696731567383,go_fast,go_fast,False,0.75,0.0,0.21299999952316284,37.84326171875,18.784008026123047,LANEFOLLOW,none,none,True,go,False,,False,4.503079042502093
